"name","other_names","air_dates","air_days","country","duration_mins","episodes","genres","native_name","original_network","mdl_popularity","mdl_rank","mdl_num_reviews","mdl_rating","mdl_num_ratings","mdl_tags","mdl_num_watchers","db_rating","db_num_ratings","image_path"
"The Princess' Man","Gongjooeui Namja,Princess' Man,Kongjooui Namja","Jul 20, 2011 - Oct  6, 2011","Wednesday,Thursday","South Korea","65","24","Historical,Romance,Action,Political","공주의 남자","KBS2","209","255","82 users","8.6","6536","Joseon Dynasty,Forbidden Love,Death,Princess,Power Struggle,Family Pressure,Impulsive Female Lead,Strong Female Lead,Star Crossed Lovers,Strong Male Lead","14971","7.9","7535","the-princess-man.jpg"
"W","W-두 개의 세계,W – Two Worlds,W – Two Worlds Apart","Jul 20, 2016 - Sep 14, 2016","Wednesday,Thursday","South Korea","60","16","Fantasy,Romance,Thriller,Action,Melodrama,Suspense,Comedy,Drama","더블유","MBC","7","256","164 users","8.6","34113","Murder,Crossworlds Traveler,Rich Male Lead,Steamy Kiss,Webtoon Artist,Serial Killer,Parallel Dimension,Lovers Separated,Heartfelt,Star Crossed Lovers","57208","7.9","152180","w.jpg"
"Thirty But Seventeen","30 but 17,but Seventeen,Seoreunijiman Yeolilgobibmida,Thirty,Still 17","Jul 23, 2018 - Sep 18, 2018","Tuesday,Monday","South Korea","35","32","Friendship,Romance,Life,Family,Music,Comedy,Mystery,Drama","서른이지만 열일곱입니다","SBS","117","260","51 users","8.6","10806","Eccentric Male Lead,Tragic Past,Love Triangle,First Love,Socially Awkward Protagonist,Naive Female Lead,Cohabitation,Trauma,Nice Female Lead,Healing","20742","7.5","6425","thirty-but-seventeen.jpg"
"dele","","Jul 27, 2018 - Sep 14, 2018","Friday","Japan","48","8","Friendship,Investigation,Life,Business,Crime,Mystery,Drama","ディーリー","TV Asahi","2032","262","6 users","8.7","732","Cold Man,Eccentric Male Lead,Death,Episodic Format,Disabled Character,Tragic Past,Nice Male Lead,Hacker,Bromance,Disability","1958","8.5","40864","dele.jpg"
"Doctor John","Dagteolum,The Doctor Room,통증의사 차요한,Pain Doctor Cha Yo Han,Doctor's Room,Tongjeunguisa Chayohan,Doctor Cha,Uisa Yohan,닥터룸,Doctor Room,The Doctor's Room","Jul 19, 2019 - Sep  7, 2019","Friday,Saturday","South Korea","35","32","Romance,Medical,Mystery,Drama","의사 요한","SBS","442","264","31 users","8.6","3744","Mature Protagonist,Eccentric Male Lead,Age Gap,Euthanasia,Student/teacher,Smart Male Lead,Trauma,Adapted From A Novel,PTSD,Doctor","8508","8.2","4971","doctor-john.jpg"
"I'm Not a Robot","She's not a robot,I Am Not a Robot,It's Not a Robot,Robosi Aniya,Roboti Aniya","Dec  6, 2017 - Jan 25, 2018","Wednesday,Thursday","South Korea","35","32","Friendship,Romance,Sci-Fi,Comedy,Drama","로봇이 아니야","MBC","35","266","87 users","8.6","21083","Eccentric Male Lead,Rich Male Lead,Fluffy,Artificial Intelligence,Hidden Identity,Sismance,Robot,Deception,Betrayal,Haphephobia","36964","7.6","10672","im-not-a-robot.jpg"
"Code Blue 3","","Jul 17, 2017 - Sep 18, 2017","Monday","Japan","45","10","Medical,Drama","コード・ブルー第3弾","Fuji TV","1847","268","6 users","8.7","959","Idol Actor,Hey! Say! Jump,Nikkan Daily Sports Drama GP,Emergency Service,Doctor","2176","8.5","16692","code-blue-3.jpg"
"Two Weeks","Toowikseu","Aug  7, 2013 - Sep 26, 2013","Wednesday,Thursday","South Korea","65","16","Investigation,Thriller,Action,Suspense,Drama","투윅스","MBC","198","267","37 users","8.6","6928","Single Parent,Crime Solving,Gang,First Love,Wrongfully Accused,Conspiracy,Child,Father-Daughter Relationship,Police Officer,Strong Male Lead","15461","8.4","8478","two-weeks.jpg"
"Voice","Boiseu,The Voice,더 보이스","Jan 14, 2017 - Mar 12, 2017","Saturday,Sunday","South Korea","60","16","Investigation,Psychological,Thriller,Detective,Mystery","보이스","OCN","231","269","18 users","8.6","6561","Stoic Characters,Serial Killer,Psychopath,Special Power,Golden Hour,Competent Protagonist,Sly Character,Strong Female Lead,Tough Female Lead,Smart Protagonist","14388","7.6","12231","voice.jpg"
"Boku no Ita Jikan","Time I Was In,The Hours of My Life","Jan  8, 2014 - Mar 19, 2014","Wednesday","Japan","54","11","Romance,Drama,Melodrama,Life","僕のいた時間","Fuji TV","371","271","25 users","8.6","3618","Tearjerker,Mother-Daughter Relationship,Nice Male Lead,Terminal Illness,Smart Male Lead,Illness,Love Confession,Father-Son Relationship,Strong Female Lead,Disability","10055","8.2","11253","boku-no-ita-jikan.jpg"
"Queen In Hyun's Man","Queen Inhyun's Man,Inhyeonwanghooui Namja,Queen And I","Apr 18, 2012 - Jun  7, 2012","Wednesday,Thursday","South Korea","45","16","Historical,Supernatural,Romance,Comedy","인현왕후의 남자","tvN","44","274","141 users","8.6","16526","Joseon Dynasty,Famous Lead/Common Lead,Scholar,Calm Male Lead,Nice Male Lead,Smart Male Lead,Female Chases Male First,Actress,Strong Male Lead,Time Travel","31957","8.5","73257","queen-in-hyuns-man.jpg"
"Arsenal Military Academy",",Lie Huo Jun Xiao","Aug  6, 2019 - Sep  6, 2019","Tuesday,Wednesday,Thursday,Friday","China","45","48","Military,Friendship,Romance,Action,Historical,Comedy","烈火军校","iQiyi","921","275","35 users","8.6","1670","Eccentric Male Lead,Cross-Dressing,Character Development,Hardworking Female Lead,Teamwork,Smart Male Lead,Hate To Love,Smart Female Lead,Strong Female Lead,Slow Burn Romance","4451","6.7","22306","arsenal-military-academy.jpg"
"Ever Night","將夜,Jiang Ye,Ever Night Season 1,将夜之帝国的清晨","Oct 31, 2018 - Jan  4, 2019","Wednesday,Thursday,Friday","China","45","60","Fantasy,Romance,Wuxia,Action,Adventure,Martial Arts,Drama","将夜","Tencent Video","959","277","25 users","8.7","1233","Revenge,Fight,Hidden Identity,Xianxia,Master-Student Relationship,Height Difference,Adapted From A Novel,Strong Female Characters,Strong Male Lead,Sword-fight","4281","7.4","51322","ever-night.jpg"
