"name","other_names","air_dates","air_days","country","duration_mins","episodes","genres","native_name","original_network","mdl_popularity","mdl_rank","mdl_num_reviews","mdl_rating","mdl_num_ratings","mdl_tags","mdl_num_watchers","db_rating","db_num_ratings","image_path"
"The Fiery Priest","Yeolhyeolsaje,Hot Blooded Priest,Enthusiastic Priest,Passionate Priest","Feb 15, 2019 - Apr 20, 2019","Friday,Saturday","South Korea","35","40","Friendship,Investigation,Crime,Action,Detective,Comedy,Law,Mystery,Drama","열혈사제","SBS","688","96","18 users","8.9","2299","Murder,Badass Male Lead,Eccentric Male Lead,Aggressive Male Lead,Attempted Murder,Impulsive Female Lead,Gangster,Church,Bromance,Priest","5840","8.1","1718","the-fiery-priest.jpg"
"Live","Laibeu,Raibeu","Mar 10, 2018 - May  6, 2018","Saturday,Sunday","South Korea","70","18","Friendship,Romance,Life,Action,Detective,Mystery","라이브","Netflix,tvN","436","100","31 users","8.9","3412","Gun Violence,Policewoman,Team Work,Strong Friendship,Police,Drinking,Police Officer,Strong Female Lead,Violence,Secret Crush","8597","9.2","41473","live.jpg"
"Incomplete Life","Misaeng","Oct 17, 2014 - Dec 20, 2014","Friday,Saturday","South Korea","80","20","Business,Friendship,Drama,Life","미생","tvN","197","109","46 users","8.8","6106","Office Worker,Workplace Abuse,Hardworking Female Lead,Adapted From A Webtoon,Nice Male Lead,Team Work,Smart Female Lead,Workplace,Strong Female Lead,Tough Female Lead","15506","9.3","63206","incomplete-life.jpg"
"Hanzawa Naoki","","Jul  7, 2013 - Sep 22, 2013","Sunday","Japan","54","10","Suspense,Business,Drama","半沢直樹","TBS","814","111","6 users","8.9","1765","Bank,Ikeido Jun,Office Worker,Idol Actor,Hey! Say! Jump,Nikkan Daily Sports Drama GP,Adapted From A Novel,Corruption","5014","9.2","161320","hanzawa-naoki.jpg"
"Story of Yanxi Palace","The Story of Yanxi Palace,Yan Xi's conquest,Yanxi Gonglue,The Tale of Yanxi Palace","Jul 19, 2018 - Aug 26, 2018","Tuesday,Wednesday,Thursday,Monday,Friday,Sunday,Saturday","China","45","70","Romance,Psychological,Historical,Comedy,Drama","延禧攻略","iQiyi","972","113","27 users","8.9","2034","Qianlong Emperor,Older Man/Younger Woman,Revenge,Sismance,Age Gap,Harem,Qing Dynasty,Betrayal,Strong Female Lead,Obsession","4226","7.2","290475","story-of-yanxi-palace.jpg"
"Romantic Doctor, Teacher Kim 2","The Romantic Doctor 2,Nangmandakteo Kimsaboo 2,Doctor Romantic 2,Romantic Doctor Kim 2,Good Things Get Better 2,Dr. Romantic 2","Jan  6, 2020 - Feb 25, 2020","Tuesday,Monday","South Korea","70","16","Medical,Romance,Drama,Melodrama","낭만닥터 김사부2","SBS","641","114","22 users","8.8","2279","Love–Hate Relationship,Hospital,Teamwork,Nurse,Nervous Female Lead,Smart Male Lead,Smart Female Lead,Trauma,Multiple Mains,Doctor","6166","8.4","11017","romantic-doctor-teacher-kim-2.jpg"
"TharnType","TharnType: The Series,TharnType S","Oct  7, 2019 - Jan  6, 2020","Monday","Thailand","50","12","Friendship,Romance,School,Family,Drama","Tharn Type The Series เกลียดนักมาเป็นที่รักกันซะดีๆ","GMM One","544","115","75 users","8.8","4390","Adapted From A Novel,Friends With Benefits,Steamy Kiss,Tragic Past,Enemies To Lovers,LGBTQ+,Gay Relationship,College Life,Roommate,Gay Character","7213","8.4","6216","tharntype.jpg"
"Project S: Skate Our Souls",",Skate Our Souls","Sep  9, 2017 - Nov 25, 2017","Saturday","Thailand","45","8","Friendship,Sports,Melodrama,Youth","โปรเจกต์ เอส เดอะซีรีส์: SOS","GMM 25","2424","116","9 users","9.0","594","Single Parent,Student,Depression,Suicide,High School,Psychology,Bromance,Self-harm,College Life","1547","9.3","1603","project-s-skate-our-souls.jpg"
"Ashes of Love","Heavy Sweetness,香蜜沉沉燼如霜,The Honey Sank Like Frost,Xiang Mi Chen Chen Jin Ru Shuang,Ash-like Frost","Aug  2, 2018 - Sep  4, 2018","Tuesday,Wednesday,Thursday,Monday,Friday,Sunday,Saturday","China","45","63","Fantasy,Friendship,Supernatural,Romance,Wuxia,Melodrama,Historical,Comedy,Drama","香蜜沉沉烬如霜","iQiyi,JSTV,Youku,Tencent Video","301","117","149 users","8.8","5587","Tearjerker,Obsession,Obsessive Second Lead,Love Triangle,Xianxia,Naive Female Lead,Adapted From A Novel,Sibling Rivalry,Male Chases Female First,Deity","12104","7.7","287192","ashes-of-love.jpg"
"Children of Nobody","Blue Sun,Red Moon,bulk-eun-dal pu-reun-hae,赤月青日,Blue Sea,Beuleundal Peureunhae","Nov 21, 2018 - Jan 16, 2019","Wednesday,Thursday","South Korea","35","32","Investigation,Crime,Psychological,Thriller,Detective,Mystery,Drama","붉은달 푸른해","MBC","671","120","16 users","8.8","2076","Murder,Domestic Violence,Orphan,Child Behavior Issues,Tragic Past,Abuse,Child Abuse,Smart Female Lead,Trauma,Strong Female Lead","5934","8.5","4463","children-of-nobody.jpg"
"Hotel del Luna","Hotel Delluna","Jul 13, 2019 - Sep  1, 2019","Saturday,Sunday","South Korea","80","16","Fantasy,Supernatural,Romance,Horror,Action,Suspense,Comedy,Mystery,Drama","호텔 델루나","tvN","84","121","109 users","8.8","12571","Warm Man/cold Woman,Ghost,Immortal,Calm Female Lead,Boss/Employee Relationship,Nice Male Lead,Hotel,Older Woman/Younger Man,Ghost-seeing Male Lead,Strong Female Lead","25160","8","90398","hotel-del-luna.jpg"
"Tunnel","Teoneol","Mar 25, 2017 - May 21, 2017","Saturday,Sunday","South Korea","60","16","Supernatural,Investigation,Sci-Fi,Crime,Psychological,Thriller,Detective,Suspense,Mystery","터널","OCN","185","123","32 users","8.8","7520","Stoic Characters,Attempted Assault,Calm Female Lead,Tragic Past,Serial Killer,Bromance,Strong Female Lead,Hwaseong Serial Murders,Time Travel,Smart Protagonist","16121","8.1","6556","tunnel.jpg"
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land","Aseudal,Part 2: Overturned Sky,The Chronicles of Aseudal,Aseudal Yeondaegi,The Asdal Chronicles,Asdal Chronicles,Part,Arthdal Chronicles: Season 2,Rising Land,The Chronicles of Arthdal,Asadal Chronicles,Part 2: The Sky Turning Inside Out,Awakening Earth","Jun 22, 2019 - Jul  7, 2019","Saturday,Sunday","South Korea","81","6","Fantasy,Romance,Historical,Political,Drama","아스달 연대기 Part 2 뒤집히는 하늘, 일어나는 땅","Netflix,tvN","635","125","9 users","8.8","3418","Pre-produced,Ambitious Lead,Murder Plan,Dance,Power Struggle,Conspiracy,Attempted Murder,War,Strong Female Lead,Multiple Mains","6257","7.3","6279","arthdal-chronicles-part-2-the-sky-turning-inside-out-rising-land.jpg"
"While You Were Sleeping","Dangshini Jamdeun Saie","Sep 27, 2017 - Nov 16, 2017","Wednesday,Thursday","South Korea","30","32","Fantasy,Friendship,Supernatural,Romance,Investigation,Crime,Thriller,Comedy,Law,Drama","당신이 잠든 사이에","SBS","20","128","102 users","8.8","24157","Murder,Tragic Past,Love Triangle,Precognition,Nice Male Lead,Childhood Acquaintance,Smart Male Lead,Neighbours,Strong Female Lead,Prosecutor","44652","8.2","81081","while-you-were-sleeping.jpg"
"Descendants of the Sun","The Sun's Descendants,Taeyangui Huye,Taeyangeui Huye","Feb 24, 2016 - Apr 14, 2016","Wednesday,Thursday","South Korea","60","16","Military,Romance,Action,Melodrama,Comedy,Medical","태양의 후예","KBS2","5","129","158 users","8.8","35334","Multiple Couples,Confident Man,Filmed Abroad,Soldier,Second Chance,Bromance,Strong Female Lead,Charming Male Lead,Male Chases Female First,Doctor","60429","7.9","171966","descendants-of-the-sun.jpg"
"It's Okay, That's Love","It's Alright This is Love,It's Love,Gwaenchana,It's Ok,It's Okay,This is Love,Gwaenchanha,Sarangiya","Jul 23, 2014 - Sep 11, 2014","Wednesday,Thursday","South Korea","60","16","Friendship,Romance,Psychological,Melodrama,Comedy,Medical,Drama","괜찮아, 사랑이야","SBS","23","130","147 users","8.8","23566","Writer,Mental Health,Cohabitation,Housemate,Psychiatry,Trauma,Strong Female Lead,Charming Male Lead,Male Chases Female First,Healing","42989","8.7","101107","its-okay-thats-love.jpg"
"The Bridal Mask","Gaksital,Bridal Mask,Doll Mask","May 30, 2012 - Sep  6, 2012","Wednesday,Thursday","South Korea","65","28","Romance,Tragedy,Investigation,Action,Historical,Political,Drama","각시탈","KBS2","116","136","91 users","8.8","8623","Vigilante,Adapted From A Manhwa,Revenge,Love Triangle,Hidden Identity,Japanese Colonial Rule,First Love,Police,Hate To Love,Rebellion","20761","8","1658","the-bridal-mask.jpg"
"Avengers Social Club","Buam-dong Avenger Social Club,Buam-dong Revengers,Buamdong Boksoojadeul,Buamdong Revenge Social Club,Bogsuja Sosyeolkeulleob,부암동 복수자 소셜클럽,Buamdong Revengers,Buam-dong Revenge Social Club","Oct 11, 2017 - Nov 16, 2017","Wednesday,Thursday","South Korea","60","12","Friendship,Life,Family,Comedy,Drama","부암동 복수자들","tvN","547","140","20 users","8.8","3011","Mother-Daughter Relationship,Revenge,Tragic Past,Sismance,Family Drama,Mother-Son Relationship,Smart Male Lead,Strong Female Lead,Strong Female Characters,Healing","7195","8.3","26042","avengers-social-club.jpg"
"Sotus","Sotus The Series P with Mr. Waugh bad one","Aug 20, 2016 - Jan  7, 2017","Saturday","Thailand","45","15","Friendship,Romance,School,Comedy,Drama,Youth","Sotus the Series พี่ว้ากตัวร้ายกับนายปีหนึ่ง","GMM One","316","141","90 users","8.8","7672","Cold Man/Warm Man,Multiple Couples,Bisexual Character,Enemies To Lovers,Hazing,LGBTQ+,Adapted From A Novel,Gay Character,Gay Relationship,College Life","11645","8.8","22839","sotus.jpg"
"Age of Youth","Cheongchunshidae,Hello,Youth Age,My Twenties!,Belle Epoque,Chungchoonshidae","Jul 22, 2016 - Aug 27, 2016","Friday,Saturday","South Korea","60","12","Friendship,Romance,Life,Comedy,Mystery,Drama,Youth","청춘시대","jTBC","74","144","75 users","8.8","15230","Coming Of Age,Multiple Couples,Sismance,Abusive Relationship,Female Centered Plot,Housemate,Strong Female Lead,Strong Female Characters,College Life,Multiple Mains","27004","8.8","25040","age-of-youth.jpg"
"HIStory2: Boundary Crossing","HIStory2-Love Over the Line,HIStory2-Crossing the Line,HIStory2: Yue Jie","Mar  6, 2018 - Mar 28, 2018","Tuesday,Wednesday","Taiwan","25","8","Friendship,Romance,Sports,School,Youth","HIStory2-越界","CHOCO TV","455","146","46 users","8.8","5714","Volleyball,Obsession,Steamy Kiss,Step-siblings Love,High School,Miniseries,LGBTQ+,Gay Relationship,Web Series,Gay Character","8302","8.6","15870","history2-boundary-crossing.jpg"
"Mother","Mazâ,Mazā","Apr 14, 2010 - Jun 23, 2010","Wednesday","Japan","45","11","Suspense,Family,Drama","マザー","NTV","528","150","17 users","8.8","1968","Motherhood,Alzheimer's Disease,Adoption,Child Abuse,Teacher,Kidnapping,Amnesia","7383","","","mother-2010.jpg"
"Partners for Justice 2","Investigation Couple Season 2,Investigation Partners Season 2,Gumbeobnamnyeo 2","Jun  3, 2019 - Jul 29, 2019","Tuesday,Monday","South Korea","35","32","Investigation,Law,Medical,Mystery,Drama","검법남녀 시즌2","MBC","1837","152","10 users","8.8","930","Rich Female Lead,Forensic Science,Prosecutor,Doctor","2187","8.6","2053","partners-for-justice-2.jpg"
"Unnatural","Annachuraru,Unnatural Death","Jan 12, 2018 - Mar 16, 2018","Friday","Japan","45","10","Suspense,Medical,Mystery,Investigation","アンナチュラル","TBS","1180","154","9 users","8.8","1410","Forensic,Strong Female Lead,Smart Female Lead,Police Procedural","3548","9.4","362292","unnatural.jpg"
"Kingdom","Kingdeom","Jan 25, 2019","Friday","South Korea","51","6","Horror,Thriller,Action,Historical,Political,Suspense,Zombies","킹덤","Netflix","353","158","30 users","8.8","5503","Joseon Dynasty,Death,King,Adapted From A Webtoon,Power Struggle,Evil Queen,Gore,Corruption,Strong Male Lead,Doctor","10590","8.5","103688","kingdom.jpg"
"You Who Came from the Stars",",You From Another Star,My Love from the Star,que viniste de las estrellas,Man From The Stars,별에서 온 남자,My Lover From The Stars,You Came From the Stars,Byeoleseo On Namja,Tú,My Love from Another Star,Byeoleseo On Geudae,Man From Another Star,Mi amor de las","Dec 18, 2013 - Feb 27, 2014","Wednesday,Thursday","South Korea","58","21","Supernatural,Romance,Melodrama,Comedy,Drama","별에서 온 그대","SBS","3","162","195 users","8.7","39004","Steamy Kiss,Sassy Female Lead,Interspecies Romance,Time Manipulation,Superhuman Strength,Special Power,Female Chases Male First,Famous Actress,Star Crossed Lovers,Celebrity","63245","8.4","243199","you-who-came-from-the-stars.jpg"
"Strangers from Hell","Hell Is Other People,Taineun Jiokida,Others Are Hell,Taineun Jiogida","Aug 31, 2019 - Oct  6, 2019","Saturday,Sunday","South Korea","60","10","Horror,Psychological,Thriller,Mystery,Drama","타인은 지옥이다","OCN","502","161","20 users","8.8","2711","Murder,Obsession,Workplace Abuse,Hostel,Adapted From A Webtoon,Dark Plot,Hot-tempered Male Lead,Gaslighting,PTSD,Mental Illness","7708","8.4","55091","strangers-from-hell.jpg"
"Eulachacha Waikiki","Laughter in Waikiki,Welcome to Waikiki,Go Go Waikiki","Feb  5, 2018 - Apr 17, 2018","Tuesday,Monday","South Korea","65","20","Friendship,Romance,Life,Comedy,Drama,Youth","으라차차 와이키키","jTBC","144","163","47 users","8.7","8738","Motherhood,Single Parent,Secondary Couple,Babysitting,Funny Character,Cohabitation,Housemate,Bromance,Friends To Lovers,Single Mother","18437","8.6","32707","eulachacha-waikiki.jpg"
"Just Between Lovers","Rain or Shine,Geunyang Saranghaneun Sai,Just Lovers,Just In Love","Dec 11, 2017 - Jan 30, 2018","Tuesday,Monday","South Korea","73","16","Romance,Psychological,Melodrama","그냥 사랑하는 사이","jTBC","79","164","101 users","8.7","11899","Tearjerker,Tragic Past,Hardworking Female Lead,Hardworking Male Lead,Nice Male Lead,Poor Female Lead,Poor Male Lead,Trauma,Slow Burn Romance,Strong Male Lead","26233","8.5","8184","just-between-lovers.jpg"
"Battle of Changsha","战长沙","Mar  8, 2014 - Mar 19, 2014","Tuesday","China","45","32","Military,Romance,Tragedy,Life,Historical,Family,War","戰長沙","BTV","1154","166","21 users","8.8","1046","Tearjerker,Death,Older Man/Younger Woman,Sino-japanese War,World War 2,Age Gap,Soldier,Siblings Relationship,Adapted From A Novel,Siblinghood","3630","9.1","133641","battle-of-changsha.jpg"
"The Master's Sun","Master's Sun,The Sun of My Master,The Sun Of The Lord","Aug  7, 2013 - Oct  3, 2013","Wednesday,Thursday","South Korea","62","17","Supernatural,Romance,Horror,Psychological,Melodrama,Comedy,Drama","주군의 태양","SBS","17","165","157 users","8.7","29110","Ghost,Rich Male Lead,Secondary Couple,Arrogant Male Lead,Eccentric Female Lead,Heir,Successful Male Lead,Trauma,Obsession,Clingy Female Lead","47144","8.6","96499","the-masters-sun.jpg"
"My Father is Strange","Father is Strange,Abeojiga Isanghae","Mar  4, 2017 - Aug 27, 2017","Saturday,Sunday","South Korea","66","52","Comedy,Family,Romance,Drama","아버지가 이상해","KBS2","295","167","35 users","8.7","5171","Sisterhood,Huge Family,Fake Incest,Evil Mother-in-law,Sibling,Mother-Son Relationship,Eccentric Female Lead,Family Secret,Father-Son Relationship,Strong Female Lead","12194","8.6","4601","my-father-is-strange.jpg"
"Reply 1997","Answer Me 1997,Respond 1997,Eungdabhara 1997,Respond To 1997,Answer To 1997,Contéstame 1997","Jul 24, 2012 - Sep 18, 2012","Tuesday","South Korea","60","16","Friendship,Romance,Life,School,Family,Comedy,Youth","응답하라 1997","tvN","25","168","115 users","8.7","23361","Mother-Daughter Relationship,Best Friends,First Love,Childhood Friends,High School,Strong Friendship,Father-Daughter Relationship,Friends To Lovers,Male Chases Female First,1990s","42113","9","89738","reply-1997.jpg"
"Strong Woman Do Bong Soon","Strong Girl Do Bong Soon,Strong Woman Do Bong-soon,Himsseonyeoja Dobongsun,Powerful Woman Do Bong Soon,A Strong Woman Do Bongsoon,Strong Girl Bong-soon","Feb 24, 2017 - Apr 15, 2017","Friday,Saturday","South Korea","67","16","Supernatural,Romance,Thriller,Action,Comedy,Drama","힘쎈여자 도봉순","jTBC","6","169","158 users","8.7","37618","Fluffy,Strong Girl,Love Triangle,Rich Man/Poor Woman,Psychopath,Bodyguard,Superhuman Strength,Amusement Park,Bromance,Strong Female Lead","58587","7.8","43092","strong-woman-do-bong-soon.jpg"
"Eternal Love of Dream","San Sheng San Shi Zhen Shang Shu,The Pillow Book,三生三世枕上書,Three Worlds,Three Lives,Eternal Love","Jan 22, 2020 - Mar  5, 2020","Thursday,Friday,Saturday","China","45","56","Fantasy,Friendship,Supernatural,Romance,Wuxia,Melodrama,Historical,Adventure,Drama","三生三世枕上书","Tencent Video","809","170","23 users","8.9","637","Immortal,Older Man/Younger Woman,Love Triangle,Cold Man/Warm Woman,Princess,Age Gap,Nine-tailed Fox,God,Adapted From A Novel,Xianxia","5045","6.3","204770","eternal-love-of-dream.jpg"
"Chief Kim","Good manager,Kimgwajang,Mister Kim,Kim Gwajang","Jan 25, 2017 - Mar 30, 2017","Wednesday,Thursday","South Korea","60","20","Business,Drama,Comedy","김과장","KBS2","208","177","44 users","8.7","6482","Eccentric Male Lead,Character Development,Con Artist,Hilarious Male Lead,Smart Male Lead,Minimal Romance,Strong Friendship,Smart Female Lead,Bromance,Accountant","14995","8.4","5312","chief-kim.jpg"
"Because This is My First Life","Yibun Saengeun Cheoeumira,This Life is Our First,Ibeon Saengeun Cheoeumira","Oct  9, 2017 - Nov 28, 2017","Tuesday,Monday","South Korea","70","16","Comedy,Friendship,Romance,Life","이번 생은 처음이라","tvN","51","176","117 users","8.7","17996","Multiple Couples,Sismance,Socially Awkward Protagonist,Cohabitation,Nerdy Male Lead,Poor Female Lead,Housemate,Contract Relationship,Marriage Of Convenience,Writer","30901","8.5","82893","because-this-is-my-first-life.jpg"
"I Hear Your Voice","Neoui Moksoriga Deulleo,The Voice You Can't Hear,I Can Hear Your Voice","Jun  5, 2013 - Aug  1, 2013","Wednesday,Thursday","South Korea","60","18","Supernatural,Romance,Thriller,Law,Mystery,Drama","너의 목소리가 들려","SBS","15","181","152 users","8.7","27686","Mind Reading,Lawyer,Revenge,Amnesia,Age Gap,Special Power,Older Woman/Younger Man,Trauma,Strong Female Lead,Male Chases Female First","49149","8.6","128542","i-hear-your-voice.jpg"
"Nirvana in Fire 2: The Wind Blows in Chang Lin","Lang Ya Bang Zhi Feng Qi Chang Lin,Lang Ya Bang 2,Nirvana In Fire Season 2: The Wind Blows in Chang Lin","Dec 18, 2017 - Feb 12, 2018","Tuesday,Wednesday,Monday","China","45","50","Military,Political,Romance,Wuxia,Historical,Family,Martial Arts,War,Drama","琅琊榜之风起长林","Dragon TV,BTV","1381","180","22 users","8.8","982","Coup D'etat,Death,Revenge,Royalty,Skilled Killer,Power Struggle,Scheme,Betrayal,Bromance,Sword-fight","3008","8.5","118277","nirvana-in-fire-2-the-wind-blows-in-chang-lin.jpg"
"Go Back Couple","Go Back Spouses,Confession Couple,Confession Spouses","Oct 13, 2017 - Nov 18, 2017","Friday,Saturday","South Korea","70","12","Supernatural,Romance,Life,School,Family,Comedy,Drama","고백부부","KBS2","207","182","59 users","8.7","7774","Misunderstanding,Mother-Daughter Relationship,Student,Adapted From A Manhwa,Love–Hate Relationship,Married Couple,Sassy Female Lead,Marriage,1990s,Time Travel","15054","8.4","7657","go-back-couple.jpg"
"Jewel in the Palace","Great Jang Geum,Una joya en el palacio,Dae Jang Geum","Sep 15, 2003 - Mar 23, 2004","Tuesday,Monday","South Korea","65","54","Romance,Melodrama,Historical,Food,Medical,Drama","대장금","MBC","390","186","14 users","8.7","4687","Joseon Dynasty,Royal Physician,Power Struggle,Smart Female Lead,Royal Cook,Strong Female Lead,Cooking","9560","8.3","43815","jewel-in-the-palace.jpg"
"Bad Guys","Na ppeun nyeo seok deul,Bad Boys","Oct  4, 2014 - Dec 13, 2014","Saturday","South Korea","65","11","Investigation,Crime,Psychological,Thriller,Action","나쁜 녀석들","OCN","134","187","48 users","8.7","8561","Murder,Death,Serial Killer,Psychopath,Team Work,Smart Male Lead,Police,Gangster,Police Officer,Violence","19041","8.3","24484","bad-guys.jpg"
"Kazoku Game","The Family Game","Apr 17, 2013 - Jun 19, 2013","Wednesday","Japan","46","10","Life,Psychological,School,Family,Mystery,Drama","家族ゲーム","Fuji TV","492","188","17 users","8.7","3070","Eccentric Male Lead,Jealousy,Abuse,Nikkan Daily Sports Drama GP,Arashi,Housewife Bullying,High School,Infidelity,Adapted From A Novel,Mentor","7809","8.1","39882","kazoku-game.jpg"
"Rebel: Thief Who Stole the People","Yeokjeok Honggildong,The Rebel,역적 홍길동,Rebel Hong Gil Dong,Yeokjuk: Baeksungeul Hoomchin Dojuk,Traitor Hong Gil Dong","Jan 30, 2017 - May 16, 2017","Tuesday,Monday","South Korea","60","30","Friendship,Romance,Thriller,Action,Melodrama,Historical,Political,Drama","역적: 백성을 훔친 도적","MBC","405","192","27 users","8.7","3081","Joseon Dynasty,Long Lost Sibling,Smart Male Lead,Discrimination,Minimal Romance,Rebellion,Bromance,Corruption,Strong Male Lead,Underdog","9237","8.1","480","rebel-thief-who-stole-the-people.jpg"
"Designated Survivor: 60 Days","60-il - Jijeongsaengjonja,60 Days,Jijeongsaengjonja,Designated Survivor,지정생존자","Jul  1, 2019 - Aug 20, 2019","Tuesday,Monday","South Korea","70","16","Suspense,Drama,Political","60일 - 지정생존자","Netflix,tvN","1263","191","9 users","8.8","1278","Blue House,National Intelligence Service,Western Series Remake,National Assembly,Teamwork,Terrorism,Power Struggle,Conspiracy,Scheme,Team Work","3329","8.5","4746","designated-survivor-60-days.jpg"
"Empress Ki","Qi Empress,The Empress Ki,Battle of Flowers,Gi Hwang-hu,Hwatu,화투","Oct 28, 2013 - Apr 29, 2014","Tuesday,Monday","South Korea","65","51","Romance,Tragedy,Melodrama,Historical,Political,Drama","기황후","MBC","118","193","83 users","8.7","8630","Cross-Dressing,Goryeo Dynasty,Love Triangle,Royalty,Power Struggle,Harem,Female Lead Action Scenes,Female Warrior,Older Woman/Younger Man,Strong Female Lead","20612","7.1","6070","empress-ki.jpg"
"Cruel City","Moojungdoshi,Undercover,Heartless City,Eundeukobo","May 27, 2013 - Jul 30, 2013","Tuesday,Monday","South Korea","60","20","Friendship,Romance,Tragedy,Investigation,Crime,Action,Detective,Suspense","무정도시","jTBC","177","198","88 users","8.7","7163","Orphan Male Lead,Badass Male Lead,Orphan Female Lead,Gang,Drug Dealer,Undercover Agent,Betrayal,Bromance,Strong Female Lead,Strong Male Lead","16603","8.1","4265","cruel-city.jpg"
"Tenno no Ryoriban","Emperor's Cook,The Emperor's Cook","Apr 26, 2015 - Jul 12, 2015","Sunday","Japan","55","12","","天皇の料理番","TBS","1262","199","9 users","0","0","Meiji Period,Adapted From A Novel,Western Food,Showa Era,Based On True Story,Chef,Taisho Period,Royal Cook,French Cuisine","3332","8.4","12475","tenno-no-ryoriban.jpg"
"Guardian","Zhen Hun","Jun 13, 2018 - Jul 25, 2018","Wednesday,Thursday","China","45","40","Fantasy,Friendship,Investigation,Detective,Mystery","镇魂","Youku","662","205","41 users","8.7","2155","Strong Chemistry,Censored Romance,Team Work,Lovers Separated,Reincarnation,Adapted From A Web Novel,Adapted From A Novel,Bromance,Star Crossed Lovers,Supernatural Power","5982","6.7","6541","guardian.jpg"
"Hot Stove League","Seutobeurigeu,Stopbrig,Stove League,Seutobeuligeu","Dec 13, 2019 - Feb 14, 2020","Friday,Saturday","South Korea","62","16","Sports,Drama,Melodrama","스토브리그","SBS","1465","203","10 users","8.8","972","Mature Protagonist,Cold Man,Hardworking Female Lead,Hardworking Male Lead,Team Work,Baseball,Competent Protagonist,General Manager,Successful Male Lead,Workplace","2824","9.3","35872","hot-stove-league.jpg"
"Beautiful World","Areumdawoon Sesang,A Beautiful World,Areumdaun Sesang","Apr  5, 2019 - May 25, 2019","Friday,Saturday","South Korea","60","16","Tragedy,Investigation,Life,Melodrama,School,Family,Suspense,Drama","아름다운 세상","jTBC,Viki","1311","208","13 users","8.8","1017","Tearjerker,Student,Married Couple,School Bullying,Sibling,Teacher,Strong Female Lead,Violence","3197","8.4","1480","beautiful-world.jpg"
"Save Me","Goohaejwoe,Rescue Me","Aug  5, 2017 - Sep 24, 2017","Saturday,Sunday","South Korea","60","16","Friendship,Psychological,Thriller,Action,Suspense,Mystery,Drama","구해줘","OCN","195","209","47 users","8.7","6107","Manipulative Character,Dark Plot,Adapted From A Webtoon,Cult,Odd Characters,Deception,Church,Smart Female Lead,Strong Female Lead,Strong Male Lead","15667","7.6","2914","save-me.jpg"
"Moon Lovers: Scarlet Heart Ryeo","Scarlet Heart: Goryeo,Scarlet Heart: Ryeo,Dalui Yeonin - Bobogyungsim Ryeo,Moon Lovers – Scarlet Heart: Ryeo,Time Slip: Ryeo,Moon Lovers,Daleui Yeonin - bobogyeongsim Ryeo","Aug 29, 2016 - Nov  1, 2016","Tuesday,Monday","South Korea","60","20","Romance,Tragedy,Action,Melodrama,Historical,Political,Drama","달의 연인 - 보보경심 려","SBS","18","211","156 users","8.7","26600","Death,Goryeo Dynasty,Character Development,Love Triangle,Gwangjong Of Goryeo,Power Struggle,Reverse-Harem,Adapted From A Novel,Male Chases Female First,Time Travel","46684","6.9","34188","moon-lovers-scarlet-heart-ryeo.jpg"
"Le Coup de Foudre","I Don't Like This World,Wo Zhi Xi Huan Ni,I Only Like You,Love at First Sight,我不喜欢这世界，我只喜欢你,Wo Bu Xi Huan Zhe Shi Jie","Apr 29, 2019 - Jun  3, 2019","Tuesday,Wednesday,Monday","China","45","35","Friendship,Romance,Life,Business,Youth","我只喜欢你","Youku,Tencent Video","665","213","50 users","8.7","2655","Multiple Couples,Sismance,Filmed Abroad,Sibling,Lovers Separated,Marriage,High School,High School To Working Life,Adapted From A Novel,Friends To Lovers","5978","7.5","66150","le-coup-de-foudre.jpg"
"Circle","Sseokeul: Ieojin Du Segye,Circle: Two Connected Worlds,Sseokeul: Yieojin Doo Segye","May 22, 2017 - Jun 27, 2017","Tuesday,Monday","South Korea","60","12","Investigation,Sci-Fi,Psychological,Mystery,Drama","써클: 이어진 두 세계","tvN","200","216","40 users","8.7","5909","Alien,Calm Female Lead,Idol Actor,Teamwork,Scientist,Strong Friendship,Smart Female Lead,Bromance,Future,Strong Female Lead","15251","8","3059","circle.jpg"
"The King’s Avatar","电视剧全职高手,Full-time master,Quan Zhi Gao Shou,Dian Shi Ju Quan Zhi Gao Shou","Jul 24, 2019 - Aug 30, 2019","Thursday,Friday,Saturday","China","45","40","Fantasy,Friendship,Sports,Action,Adventure","全职高手","iQiyi","438","218","39 users","8.7","2688","Mature Protagonist,Gamers,Team Mates,Game,Teamwork,Professional Gaming,Strategist Gaming,Online Gaming,E-sport Industry,Strong Female Characters","8560","7.4","111863","the-kings-avatar.jpg"
"When the Camellia Blooms","Dongbaek-kkot pil muryeop,Dongbaekkkot pil mooryeob,Camellia Blooms,Dong-baek-ggoch pil mu-ryeob,Dongbaekkkot pil muryeop,Dongbaekggoch Pil Muryeob,When Camellia Blooms","Sep 18, 2019 - Nov 21, 2019","Wednesday,Thursday","South Korea","35","40","Romance,Thriller,Family,Comedy,Drama","동백꽃 필 무렵","Netflix,KBS2","327","215","20 users","8.7","4726","Motherhood,Murder,Male Chases Female First,Serial Killer,Hardworking Female Lead,Mother-Son Relationship,Police Officer,Dorky Male Lead,Mystery,Single Mother","11246","8.5","24867","when-the-camellia-blooms.jpg"
